# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-dev25

achievements.3d482406-7d31-3611-bc19-a6116a17484a, long, 0000000000000001
"blockplace::world:13.5,63.5,10.5", offlineplayer, 82046E616D6520800B4D696E69466C65784A41560475756964800455554944820C6C656173745369674269747304BC19A6116A17484A0B6D6F737453696742697473043D4824067D313611
fly.miniflexjav, boolean, 00
hs.7mc7, long, 0000000000000000
hs.<none>, long, 0000000000000001
hs.___, long, 0000000000000000
hs._crazyy_gamer_vn, long, 0000000000000000
hs._lattekungzch_, long, 0000000000000000
hs._theravyk0_, long, 0000000000000000
hs._theravyk_, long, 0000000000000000
hs._vizy, long, 0000000000000000
hs.alpha_3105, long, 0000000000000000
hs.azurikrizu, long, 0000000000000000
hs.bip6a0, long, 0000000000000000
hs.cheeisy, long, 0000000000000001
hs.coolguy52, long, 0000000000000000
hs.davidgamezyt, long, 0000000000000000
hs.daylflw, long, 0000000000000001
hs.entity:12ffe49b-5059-41c8-8cb8-1a01445abc8f, long, 0000000000000000
hs.entity:1fd8507e-d434-4d2a-8bcf-7733ab405140, long, 0000000000000000
hs.entity:45cc5959-bd3f-4df8-8985-62a16833ec28, long, 0000000000000000
hs.entity:47d7ff88-2fb7-43ad-ad5c-9a69546a7653, long, 0000000000000000
hs.entity:4892d676-0cfc-4c5c-a582-3be275376ede, long, 0000000000000000
hs.entity:656be04a-4eed-4cf4-b7b9-66f781a5fd17, long, 0000000000000000
hs.entity:688675d5-16d9-4d86-b2fb-70d1662deeab, long, 0000000000000000
hs.entity:7ab2e9f6-1de8-4140-abbc-60c1ace76ae2, long, 0000000000000000
hs.entity:7f8ccc9e-602f-4cda-a9ef-3d35405e42ad, long, 0000000000000000
hs.entity:843097ff-7242-4e1f-8650-a74db8b0e31d, long, 0000000000000000
hs.entity:a1696ab8-df3c-4c26-a8a7-6b99cf7fa84a, long, 0000000000000000
hs.entity:b9780f25-c25c-4c84-80ac-f89e6050e55c, long, 0000000000000000
hs.entity:b9a7a320-be04-4f3f-8e28-a46cc1a11338, long, 0000000000000001
hs.entity:ba0e54cb-23bf-45d6-bf09-1b2a0ff18dc4, long, 0000000000000001
